X,Ana,Eth,Glu,Nit,Ypd
ABP1,1,1,1,1,0
ABZ1,1,1,1,1,1
ACB1,0,0,1,0,0
ACH1,1,1,1,1,0
ACO1,0,1,1,0,0
ACP1,1,1,1,1,1
ACS1,2,2,2,2,0
ADE12,2,2,2,2,1
ADE3,2,2,2,2,2
ADH3,1,1,1,1,0
ADH5,1,1,1,0,0
ADH6,0,1,1,0,0
ADP1,1,1,1,1,0
ADR1,1,1,1,0,0
ADY2,0,1,1,0,0
AEP1,1,1,1,0,0
AFG3,2,2,2,2,0
AGP3,0,1,0,0,0
AHA1,1,1,1,0,0
AHC1,0,1,1,0,0
AHK1,2,2,2,2,1
AHP1,1,1,1,0,0
AIM19,1,1,1,1,0
AIM24,1,1,1,0,0
AIM29,1,2,2,1,1
AIM33,0,1,1,0,0
AIM39,0,1,0,0,0
AIM9,1,1,1,0,0
AKL1,0,0,1,0,0
ALD4,0,1,1,0,0
ALF1,0,2,2,0,0
ALG14,1,1,1,0,0
ALG6,1,1,1,1,1
ALT2,0,1,1,1,0
AMD1,0,1,1,0,0
AMN1,0,1,1,0,0
ANB1,0,1,1,0,0
APA2,2,2,2,2,0
APD1,0,1,0,0,0
APE4,1,1,1,1,0
APL3,0,1,1,0,0
APL4,0,1,1,0,0
APP1,1,1,1,1,1
APS1,0,1,1,0,0
APS2,1,1,1,0,0
APT2,1,1,1,0,0
AQR1,0,1,1,0,0
ARE2,0,1,1,0,0
ARG7,1,1,1,0,0
ARO2,0,0,1,0,0
ARO4,1,1,1,1,1
ARO9,2,2,2,2,1
ARR1,1,1,1,1,0
ASA1,0,1,0,0,0
ASF1,1,1,1,1,1
ASF2,1,1,1,1,0
ASP3-3,2,2,2,1,0
ATF1,1,1,1,1,1
ATG20,1,1,1,1,0
ATG31,1,1,1,1,1
ATG33,0,1,0,0,0
ATG4,1,1,1,0,0
ATG41,3,3,3,3,2
ATG8,0,0,1,0,0
ATM1,1,1,1,1,0
ATP2,1,2,2,1,0
ATP3,2,2,2,1,1
ATP7,2,2,2,2,1
ATR1,0,1,0,0,0
ATX1,1,1,1,1,0
AUS1,0,1,1,0,0
AVT1,1,1,1,1,1
AVT7,1,1,1,1,0
BAS1,1,1,1,1,0
BCY1,2,2,2,2,0
BDH1,1,1,1,0,0
BER1,0,1,1,0,0
BET3,1,1,1,1,0
BIO5,0,1,0,0,0
BMH1,1,1,1,1,0
BNA3,1,2,1,2,0
BNA4,1,1,1,1,1
BNS1,1,1,1,1,0
BOI1,1,1,1,1,0
BOI2,1,1,1,1,0
BOP2,1,1,1,1,0
BRE1,2,2,2,2,1
BRF1,0,0,1,0,0
BRX1,0,1,1,0,0
BSC1,0,1,1,0,0
BSP1,1,1,1,0,0
BUD27,2,2,2,2,0
BUD7,1,1,1,1,1
BUD8,1,1,1,0,0
BUR6,0,0,1,0,0
CAB1,2,2,2,2,0
CAB3,1,1,1,0,0
CAP1,3,3,3,2,1
CAR2,0,1,1,0,0
CAX4,0,1,2,0,0
CBP1,1,1,1,1,0
CBP2,1,1,1,1,0
CBR1,0,1,0,0,0
CCS1,1,1,1,1,0
CCT4,0,1,0,0,0
CDA2,0,1,0,0,0
CDC19,1,1,1,0,1
CDC23,1,1,1,1,0
CDC34,2,2,2,2,0
CDC39,1,1,1,1,0
CDC4,0,1,1,0,0
CHL4,1,1,1,1,0
CIA1,1,2,2,0,0
CIK1,2,2,2,1,0
CIP1,1,1,1,0,0
CIS3,1,1,1,1,1
CIT1,1,1,1,1,0
CIT2,1,1,1,0,0
CIT3,1,1,1,1,0
CKB2,2,2,2,2,1
CKS1,1,1,1,0,0
CLD1,1,2,2,1,0
CLN3,0,1,1,0,0
CMC4,2,2,2,1,0
CMR3,0,1,1,0,0
COA3,0,1,0,0,0
COG2,1,1,1,1,0
COG7,0,1,1,0,0
COI1,1,1,1,1,0
COQ2,0,1,1,0,0
COQ3,0,1,1,0,0
COT1,1,1,1,1,0
COX17,3,3,3,3,1
COX4,1,1,1,1,0
COX8,0,1,0,0,0
CPA1,2,2,2,1,0
CPD1,0,0,1,0,0
CPR2,0,1,0,0,0
CRF1,0,1,1,0,0
CSL4,1,1,1,1,0
CSR2,0,1,1,0,0
CTF19,1,1,1,1,0
CTK1,1,1,1,1,0
CTR3,0,1,1,0,0
CUS1,0,1,1,0,0
CWC21,1,1,1,0,0
CWC24,0,1,1,0,0
CWH41,1,1,1,0,0
CWP1,0,1,0,0,0
CWP2,0,1,0,0,0
CYB2,0,1,1,0,0
CYC1,0,1,1,0,0
CYC3,1,2,1,0,0
CYC8,1,1,1,1,0
