X,Ana,Eth,Glu,Nit,Ypd
CYS3,2,2,2,2,1
CYS4,1,1,1,1,0
CYT1,1,1,1,1,1
DAL5,0,1,0,0,0
DAL80,0,1,1,0,0
DAM1,2,2,2,2,2
DAN1,1,1,1,0,0
DAP1,2,2,2,2,0
DAS1,1,1,1,1,0
DBP7,0,1,1,0,0
DDP1,1,2,2,1,0
DDR2,2,2,2,2,1
DGA1,0,1,1,0,0
DHH1,1,1,1,1,0
DID2,0,1,1,0,0
DIF1,0,1,1,0,0
DLD1,0,1,0,0,0
DLD3,0,1,1,0,0
DML1,1,1,1,0,0
DOP1,1,1,1,1,1
DPC13,1,1,1,1,0
DPH2,1,1,1,1,1
DPH5,0,1,1,0,0
DPI8,2,2,2,2,1
DPS1,0,1,1,0,0
DRS1,3,3,3,3,1
DRS2,2,1,1,2,1
DSE1,2,2,2,2,1
DUS3,0,1,1,0,0
DUS4,0,1,1,0,0
EAF3,1,1,1,0,0
EAF6,1,1,1,0,0
EAT1,1,1,1,1,0
EBP2,2,2,2,1,0
ECL1,1,2,2,0,0
ECM14,1,1,1,0,0
ECM15,3,3,3,3,1
ECM19,0,1,1,0,0
ECM3,0,1,1,0,0
EEB1,1,1,2,1,0
EFB1,1,1,1,1,0
EGD1,1,1,1,1,0
EGH1,2,2,2,2,0
ELO2,0,1,1,0,0
ELP2,1,2,1,1,0
ELP3,0,1,0,0,0
EMC5,1,1,1,1,0
EMI1,1,1,1,0,0
ENO1,1,1,1,1,0
ENT4,0,1,1,0,0
ENV7,1,1,1,1,0
EOS1,1,2,2,0,0
EPL1,2,2,2,2,0
ERG20,2,2,2,2,2
ERG25,1,1,1,1,1
ERG26,1,1,1,1,1
ERG28,1,2,2,1,0
ERG6,1,1,1,1,0
ERI1,1,1,1,1,0
ERP2,0,1,0,0,0
ERV46,1,1,1,0,0
ESS1,0,1,1,0,0
EST1,1,1,1,0,0
ETP1,0,1,0,0,0
EXG1,1,1,1,0,0
EXO84,0,1,1,0,0
EXP1,1,1,1,0,0
FAA1,0,1,1,0,0
FAB1,2,2,2,2,1
FAS1,1,1,1,1,0
FBA1,1,1,1,0,0
FLC1,1,1,1,1,1
FLC2,2,2,2,2,0
FMC1,0,1,1,0,0
FMO1,1,1,1,1,0
FMP30,0,1,1,0,0
FMP42,0,1,1,0,0
FMP48,0,1,0,0,0
FOL1,0,1,1,0,0
FOX2,1,1,1,1,0
FPR1,0,1,0,0,0
FRS1,0,1,1,0,0
FSH2,0,1,1,0,0
FUM1,1,2,2,0,0
FZF1,0,0,1,0,0
GAB1,0,1,0,0,0
GAR1,2,2,2,2,1
GDH2,1,1,1,1,0
GDH3,2,2,2,2,0
GEP5,1,1,1,1,1
GEP7,1,1,1,1,1
GFD1,2,2,2,2,1
GIC2,1,1,1,0,0
GIS1,1,1,1,0,0
GLE2,1,1,1,1,1
GLK1,2,2,2,1,0
GLN1,1,1,1,1,0
GLO1,0,1,1,0,0
GLT1,0,1,1,0,0
GLY1,1,2,1,1,1
GNA1,1,1,1,1,1
GNP1,2,2,2,2,1
GPD1,1,1,1,1,0
GPD2,1,1,1,1,0
GPI19,3,3,3,3,1
GPM2,0,1,1,0,0
GPP1,0,1,1,0,0
GPP2,1,1,1,1,0
GPX1,1,1,1,0,0
GRS2,0,0,1,0,0
GRX1,1,1,1,1,0
GRX2,1,1,1,0,0
GSC2,1,1,1,1,0
GSH1,1,2,2,2,1
GSY1,0,1,1,0,0
GSY2,1,1,1,0,0
GTO1,1,1,1,1,0
GTR1,3,4,4,4,0
GTT2,0,1,1,1,0
GUA1,1,1,1,1,0
GVP36,0,1,0,0,0
GYP8,0,1,0,0,0
HAC1,2,1,1,2,0
HAS1,1,1,1,0,0
HCH1,1,1,1,1,0
HEM13,0,1,1,0,0
HEM2,2,2,2,1,0
HFI1,1,1,1,1,0
HIF1,0,2,1,0,0
HIR2,2,2,2,2,1
HIS1,1,2,2,1,0
HIS2,0,1,1,0,0
HIS4,0,1,1,0,0
HIS5,2,2,2,2,1
HIS7,1,1,1,1,0
HMF1,1,1,1,1,0
HMS2,1,1,1,1,0
HOM3,1,1,1,1,0
HOM6,1,2,2,1,1
HOR7,0,2,2,0,0
HRB1,1,1,1,1,0
HRI1,3,3,3,0,0
HRR25,2,2,2,2,1
HRT1,1,1,1,0,0
HSH49,2,2,2,1,0
HSL7,1,1,1,0,0
HST3,0,1,1,0,0
HST4,1,1,1,1,0
HSV2,1,1,1,1,1
HTA2,1,1,1,0,0
HTB2,1,1,1,0,0
HTC1,2,2,2,2,1
HTZ1,1,2,2,1,0
HUB1,1,1,1,1,1
HUL5,1,1,1,1,0
HXK1,1,1,1,0,0
HXK2,0,0,1,0,0
HXT2,1,1,1,0,0
HXT6,1,1,1,0,0
ICY1,3,3,3,2,0
IDH1,2,2,2,2,2
IDH2,1,1,1,1,1
IDP2,1,1,1,1,1
IES5,3,3,3,3,1
IES6,3,4,3,3,2
IGO2,1,1,1,0,0
IKI3,2,2,2,0,0
ILV3,0,1,1,0,0
ILV5,0,1,0,0,0
IML1,4,4,3,4,1
IMP1,0,1,1,0,0
INA22,0,1,1,0,0
INO80,0,0,1,0,0
IPK1,0,1,1,0,0
IPP1,1,0,1,1,0
IPT1,1,1,1,1,0
IRC13,0,0,1,0,0
IRC22,2,2,2,2,0
IRC23,1,1,1,0,0
IRC7,1,1,1,0,0
IRR1,0,1,0,0,0
ISC1,2,3,2,2,0
ISF1,1,1,1,0,0
ISY1,0,1,1,0,0
IZH4,2,2,2,2,1
JIP5,1,1,1,1,0
JLP2,1,1,1,0,0
KCS1,0,1,1,0,0
KEI1,1,1,1,1,0
KEL2,1,1,1,0,0
KEL3,1,2,2,0,0
KKQ8,0,1,1,0,0
KNH1,0,2,2,0,0
KRE2,1,1,1,0,0
KRE6,1,1,1,1,0
KSH1,0,1,1,0,0
KTI12,1,1,1,1,0
KTR1,4,4,4,4,1
KTR6,0,1,1,0,0
LAC1,2,2,2,2,1
LAP3,1,1,1,0,0
LAS21,0,1,0,0,0
LAT1,1,1,1,1,0
LCB3,2,2,2,1,0
LCB4,0,1,1,0,0
LCD1,0,1,0,0,0
LEE1,0,1,1,0,0
LEU4,1,1,1,1,1
LHP1,1,1,1,0,0
LIF1,1,1,1,1,0
LOC1,2,2,2,3,0
LOG1,1,1,1,1,0
LOT6,0,1,0,0,0
LPD1,2,2,2,2,1
LPP1,2,2,2,1,0
LSB5,1,1,1,1,0
LSB6,1,2,2,2,1
LSM4,1,1,1,1,1
LSM6,1,1,1,0,0
LSM7,0,2,2,0,0
LTO1,1,1,1,1,0
LYS1,1,1,1,0,0
LYS14,0,1,1,0,0
LYS20,0,2,1,0,0
MAE1,1,1,1,0,0
MAG2,0,1,1,0,0
MAK32,1,1,1,1,0
MAY24,0,1,0,0,0
MBF1,1,1,1,1,1
MCM1,0,1,1,0,0
MCM16,0,1,1,0,0
MCR1,0,1,1,0,0
MDH1,2,2,2,1,0
MDM20,0,1,1,0,0
MDY2,1,1,1,1,0
MEC1,1,1,1,0,0
MED7,1,1,1,0,0
MET1,1,1,1,1,0
MET10,1,1,1,1,0
MET13,2,2,2,2,3
MET14,3,3,3,3,0
MET16,1,1,1,1,0
MET17,3,3,3,3,1
MET2,3,4,4,3,2
MET22,1,2,1,1,0
MET28,3,3,3,2,0
MET3,2,2,2,2,1
MET30,2,2,2,2,0
MET31,1,1,1,1,0
MET32,1,1,1,1,0
MET4,1,1,1,1,1
MET5,2,2,2,2,0
MET6,3,3,3,3,1
MET8,1,1,1,1,0
MGL2,0,1,1,0,0
MGM1,0,0,1,0,0
MHO1,0,1,0,0,0
MHR1,1,1,1,1,0
MIG1,1,1,1,0,0
MIN8,1,1,1,0,0
MNL1,0,1,1,0,0
MNN1,1,1,1,0,0
MNN2,2,2,2,0,0
MNN5,2,2,2,2,1
MNN9,1,1,1,1,0
MOB1,1,1,1,1,0
MOT3,0,1,1,0,0
MPC2,0,1,1,0,0
MPD1,1,1,1,0,0
MRK1,1,1,1,0,0
MRP4,4,4,4,3,2
MRPL16,0,1,1,0,0
MRPL24,0,1,1,0,0
MRPL8,0,1,0,0,0
MRS3,2,2,2,2,1
MRX14,2,2,2,2,1
MSF1,0,1,1,0,0
MSH3,1,1,1,1,0
MSL1,0,1,0,0,0
MSM1,1,1,1,0,0
MSN2,1,1,1,1,0
MSS4,1,1,1,0,0
MSW1,1,2,2,0,0
MTG2,1,1,1,1,0
MTQ1,2,2,2,2,1
MUM2,1,1,1,0,0
MUP3,1,1,1,1,0
MVD1,0,1,1,0,0
NAB3,2,2,2,2,1
NAR1,1,1,1,0,0
NAT2,1,1,1,0,0
NAT4,0,1,1,0,0
NBP1,0,1,0,0,0
NBP35,1,1,1,1,0
NCA3,1,1,1,1,1
NCB2,1,1,1,1,1
NCE103,2,2,2,2,2
NCP1,1,1,1,1,0
NCW1,2,2,2,2,1
NDC80,0,1,1,0,0
NDI1,2,2,2,2,1
NEL1,0,1,1,0,0
NHP6B,2,3,3,2,1
NNK1,2,2,2,1,0
NNR2,0,1,1,0,0
NOG1,2,2,2,2,0
NOP13,1,1,1,0,0
NOT5,1,1,1,1,1
NPL6,1,1,1,0,0
NRG1,0,0,1,0,0
NRG2,2,2,2,0,0
NRT1,0,1,1,0,0
NSG1,1,1,1,1,0
NUP1,4,4,4,4,1
NUP49,0,1,1,0,0
NUP60,2,2,2,2,1
NUP82,0,1,1,0,0
NUT2,1,1,1,1,0
OAR1,0,1,1,0,0
OAZ1,0,1,1,0,0
OCA4,1,1,1,1,0
OLE1,1,1,1,1,0
OMS1,0,1,1,0,0
ORC3,0,1,0,0,0
ORC5,0,1,1,0,0
ORM1,0,0,1,0,0
ORT1,0,1,1,0,0
OSH7,3,3,3,2,0
OST4,1,1,1,0,0
OST6,1,2,2,0,0
OYE3,2,2,2,2,0
PAC10,1,1,1,1,0
PAH1,0,1,1,0,0
PAN1,2,2,2,2,0
PAN6,0,1,1,0,0
PAR32,0,1,0,0,0
PBI2,0,1,1,0,0
PBY1,1,2,2,0,0
PCL2,0,1,1,0,0
PCL5,1,1,1,1,0
PCS60,2,2,2,2,1
PDC6,0,1,1,0,0
PDI1,2,2,2,1,0
PDR10,1,1,1,1,0
PDR16,1,1,1,1,0
PDR5,1,1,1,0,0
PDS1,2,2,2,2,1
PDX1,0,1,1,0,0
PET117,1,1,1,1,0
PEX2,1,1,1,1,0
PFA5,0,1,1,0,0
PFK1,1,1,1,0,0
PFK26,1,1,1,1,0
PFK27,1,1,1,0,0
PFS2,0,1,0,0,0
PGA2,0,2,2,0,0
PGC1,2,2,2,2,1
PGI1,0,1,1,0,0
PGK1,1,1,1,1,1
PHM6,1,1,1,0,0
PHO11,1,1,1,0,0
PHO4,1,1,1,1,1
PHO8,1,1,1,0,0
PHO81,1,1,1,1,0
PHO84,3,4,4,4,0
PHO86,1,1,1,1,0
PHO87,0,1,1,0,0
PHO89,0,1,1,0,0
PHO91,1,1,1,1,0
PIC2,1,1,1,1,0
PIH1,0,1,1,0,0
PIL1,0,1,1,0,0
PIR1,0,1,1,0,0
PIR3,0,1,1,0,0
PKH2,2,2,2,2,1
PKP1,0,1,0,0,0
PLB3,1,2,2,1,0
PMP1,0,1,1,0,0
PMT1,1,1,1,0,0
PMT6,1,1,1,0,0
PNG1,1,1,1,1,0
POL30,0,1,1,0,0
POL31,0,1,1,0,0
POP1,2,2,2,2,1
POP3,2,2,2,2,1
POR1,0,1,1,0,0
PPN2,1,1,1,1,0
PRE10,0,1,1,0,0
PRE2,1,1,1,1,1
PRI1,0,1,0,0,0
PRM5,2,2,2,2,1
PRP3,0,1,1,0,0
PRP39,0,1,1,0,0
PRS2,2,3,2,2,1
PRS4,1,1,1,1,0
PSE1,1,1,1,1,0
PSK1,2,2,2,2,0
PSP1,0,1,1,0,0
PSP2,3,4,4,1,0
PSR1,3,3,3,3,1
PST1,2,2,2,2,0
PTA1,1,1,1,0,0
PTC1,1,1,1,1,0
PTH2,0,1,1,0,0
PTK1,0,1,1,0,0
PTK2,1,1,1,0,0
PUP3,1,1,1,1,0
PUT1,3,4,4,3,1
PUT3,2,2,2,2,1
PUT4,1,1,1,0,0
PWP2,1,1,1,0,0
PXR1,0,1,1,0,0
PYC1,1,1,1,1,0
PYK2,0,2,2,0,0
QCR10,1,1,1,1,1
QCR6,1,1,1,1,1
QRI7,1,1,1,1,0
RAD16,1,1,1,1,0
RAD17,1,2,1,1,0
RAD34,0,1,1,0,0
RAD51,1,1,1,1,0
RAD54,1,1,1,0,0
RAD55,1,1,1,0,0
RAD59,2,2,2,2,1
RAP1,1,1,1,1,0
RAS2,0,1,1,0,0
RBH1,0,1,0,0,0
RCF2,0,1,1,0,0
RCF3,1,1,1,1,0
REB1,2,2,2,2,1
REX2,0,1,1,0,0
RFS1,0,1,0,0,0
RGA2,1,1,1,0,0
RGC1,1,1,1,0,0
RGL1,2,2,2,2,1
RGS2,0,1,0,0,0
RHO3,2,2,2,2,1
RHO5,1,1,1,0,0
RIB5,1,1,1,1,0
RIM15,2,1,1,2,0
RIM8,0,1,0,0,0
RIM9,1,1,1,0,0
RIP1,1,1,1,1,1
RKM5,0,1,1,0,0
RMD6,1,1,1,1,0
RME1,0,1,1,0,0
RMI1,1,1,1,0,0
RNH201,1,1,1,1,0
ROX1,0,2,2,0,0
RPA135,1,1,1,0,0
RPB11,0,1,1,0,0
RPC37,0,1,1,0,0
RPL11A,1,1,1,1,1
RPL12B,1,1,1,0,0
RPL13A,1,1,1,0,0
RPL16B,0,1,1,0,0
RPL19B,1,1,1,1,0
RPL24B,1,1,1,0,0
RPL33B,0,0,1,0,0
RPL36B,2,2,2,2,1
RPL39,1,1,1,0,0
RPL43B,1,1,1,1,1
RPL5,0,1,1,0,0
RPL6B,1,2,2,0,0
RPN14,0,1,1,0,0
RPN3,1,1,1,1,0
RPN4,1,1,1,1,1
RPN6,1,1,1,0,0
RPP2B,1,1,1,1,0
RPS0B,0,1,1,0,0
RPS10A,1,1,1,0,0
RPS16B,1,1,1,0,0
RPS21A,1,1,1,1,1
RPS21B,2,2,2,1,0
RPS3,1,2,1,0,0
RPS30B,1,1,1,1,0
RPS4A,1,1,1,1,0
RPS4B,0,1,1,0,0
RPS7B,1,1,1,0,0
RRB1,1,1,1,0,0
RRD2,1,1,1,0,0
RRN5,3,3,3,3,1
RRP6,2,1,2,2,0
RRT14,3,3,3,3,1
RSC30,0,1,0,0,0
RSM10,0,2,1,0,0
RSM25,0,1,1,0,0
RSM7,2,2,2,1,0
RSO55,2,2,2,2,1
RSP5,2,2,2,2,1
RTG2,2,2,2,1,0
RTG3,0,1,1,0,0
RTS1,0,1,1,0,0
RTS3,1,1,1,1,0
RVB1,1,1,1,1,0
RVB2,1,1,1,1,0
SAH1,1,2,2,1,0
SAK1,0,1,1,0,0
SAM2,2,2,2,2,0
SAM3,0,1,0,0,0
SAM35,2,2,2,2,0
SBE22,1,1,1,1,0
SBH2,0,1,0,0,0
SCH9,1,1,1,1,0
SCM4,2,2,2,2,1
SCO2,1,1,1,0,0
SCP1,1,1,1,1,0
SCS3,1,1,1,1,2
SCW4,0,1,1,0,0
SDH7,3,3,3,2,1
SDS22,1,1,1,1,1
SDS23,2,2,2,2,1
SEC16,0,1,0,0,0
SEC20,0,1,0,0,0
SEC27,1,1,1,0,0
SEC31,1,1,1,1,0
SEC62,2,2,2,2,0
SEN15,0,1,0,0,0
SER1,1,1,1,1,0
SER33,1,1,1,1,0
SES1,1,1,1,1,1
SET2,2,2,2,2,2
SFB3,2,2,2,2,1
SFC1,1,1,1,1,1
SFG1,0,1,1,0,0
SFH1,0,1,1,0,0
SFP1,0,1,1,0,0
SFT1,1,1,1,0,0
SFT2,0,1,1,0,0
SGO1,0,1,1,0,0
SHM2,0,1,1,0,0
SHR5,1,1,1,1,0
SHU1,4,4,4,3,2
SIF2,0,1,1,0,0
SIN3,0,1,1,0,0
SIP3,0,1,1,0,0
SIP5,1,1,1,1,0
SIR1,1,1,1,0,0
SIS2,1,1,1,1,1
SKG1,1,1,1,0,0
SKS1,1,1,1,0,0
SKY1,1,1,1,1,0
SLC1,1,1,1,0,0
SLD2,1,2,2,1,0
SLS1,3,3,3,3,1
SMC5,1,1,1,0,0
SMI1,1,1,1,1,0
SMT3,2,2,2,2,1
SMX2,2,2,2,2,1
SNA3,1,1,1,1,0
SNC2,1,1,1,1,0
SNF11,1,1,1,1,0
SNF4,1,2,1,0,0
SOF1,1,1,1,0,0
SOH1,1,1,1,1,1
SOK1,1,1,1,1,0
SOL1,0,1,1,0,0
SOR2,0,1,1,0,0
SPA2,0,2,1,0,0
SPC25,2,3,2,2,0
SPE2,2,2,2,2,1
SPG4,0,1,1,0,0
SPH1,0,1,1,0,0
SPO14,0,1,1,0,0
SPO24,1,1,1,1,0
SPP381,0,1,0,0,0
SPS4,0,1,1,0,0
SPT16,2,2,2,2,0
SPT6,2,2,2,2,2
SQS1,1,1,1,0,0
SRC1,0,1,1,0,0
SRP14,1,1,1,1,0
SRX1,1,1,1,0,0
SSA1,1,1,1,1,0
SSF2,0,1,1,0,0
SSY5,1,1,1,1,0
STB2,0,1,1,0,0
STB3,2,2,2,1,0
STE2,0,1,0,0,0
STE20,4,4,4,3,2
STE23,0,1,1,0,0
STE4,0,0,1,0,0
STE7,1,1,1,1,0
STH1,3,3,3,3,1
STM1,2,2,2,2,1
STR3,0,1,1,0,0
STV1,0,1,1,0,0
SUA7,0,1,0,0,0
SUE1,0,1,0,0,0
SUL1,0,0,0,1,0
SUL2,1,1,1,1,1
SUR1,1,1,1,1,0
SUR2,1,1,1,1,0
SUR7,0,1,1,0,0
SWC7,1,1,1,0,0
SWE1,2,2,2,2,1
SWI4,1,1,1,1,1
SWM1,0,1,1,0,0
SXM1,0,1,1,0,0
SYF2,2,2,2,2,1
SYG1,2,2,2,2,0
TAF4,1,1,1,1,0
TAH1,1,1,1,0,0
TAL1,1,1,1,0,0
TAM41,0,1,1,0,0
TAT1,1,2,2,0,0
TAX4,0,1,1,0,0
TCB1,2,2,2,2,0
TDA1,1,1,1,0,0
TDA2,1,1,1,1,0
TDH1,0,2,2,0,0
TDH2,1,1,1,1,0
TEF1,0,0,1,0,0
TEL1,1,1,1,0,0
TEN1,0,1,0,0,0
TFA1,1,1,1,0,0
TFA2,1,1,1,0,0
TFB3,0,1,1,0,0
TFC3,2,2,2,2,1
TGL2,0,1,0,0,0
THG1,0,1,1,0,0
THO1,1,1,1,1,0
THP2,1,1,1,1,0
THP3,0,1,1,0,0
TIM12,2,2,2,2,1
TIM17,1,1,1,0,0
TIM44,1,1,1,0,0
TIM54,1,1,1,1,0
TIS11,0,1,1,0,0
TMA19,0,1,1,0,0
TOD6,0,1,1,0,0
TPM1,1,2,2,0,0
TRA1,2,2,2,2,1
TRM3,1,1,1,1,0
TRP1,1,1,1,1,0
TRS23,1,1,1,0,0
TRS31,0,1,1,0,0
TUB2,0,1,1,0,0
TYE7,1,1,1,1,0
UBC4,1,2,2,1,0
UBC5,0,1,0,0,0
UBC6,2,2,2,2,1
UBP11,1,1,1,1,0
UBP12,0,1,1,0,0
UBP8,0,1,1,0,0
UBS1,0,1,0,0,0
UGA3,0,1,1,0,0
ULP2,2,2,2,2,0
ULS1,0,0,1,0,0
UME1,0,1,1,0,0
UME6,1,1,1,0,0
UPC2,1,0,1,0,0
UPS2,0,1,1,0,0
URA10,1,1,1,0,0
URE2,1,1,1,1,0
URH1,1,1,1,0,0
URN1,0,1,0,0,0
USO1,2,2,2,2,1
UTP10,2,2,2,2,0
UTP13,1,1,1,1,0
UTP21,1,1,1,1,0
UTP5,1,1,1,1,1
UTP8,1,1,1,1,1
UTR1,0,1,1,0,0
VAC14,1,1,1,0,0
VAN1,1,1,1,1,0
VFA1,0,1,1,0,0
WHI4,1,2,1,0,0
VHS1,1,1,1,0,0
VHS3,1,1,1,1,0
VIP1,1,1,1,1,0
VMA6,1,2,2,0,0
VPH1,1,2,2,1,0
VPS33,1,1,1,1,1
WRS1,0,1,1,0,0
WSC2,2,2,2,2,1
WSS1,1,1,1,1,0
VTC1,1,1,1,1,0
VTC2,1,1,1,0,0
VTC3,1,1,1,1,0
VTC4,1,1,1,1,0
VTI1,2,2,2,1,0
WTM1,1,1,1,1,0
XRN1,0,1,1,0,0
YAP1,1,1,1,1,0
YAP1801,0,1,1,0,0
YAP5,3,3,3,2,0
YAP6,0,1,1,0,0
YAT1,0,2,2,0,0
YBL028C,1,1,1,1,0
YBL036C,1,1,1,1,0
YBL055C,0,1,1,0,0
YBL086C,1,1,2,1,0
YBR016W,2,2,2,0,0
YBR053C,0,1,0,0,0
YBR071W,1,1,1,0,0
YBR241C,0,1,1,0,0
YBR242W,0,1,1,0,0
YBR287W,1,1,1,1,0
YCH1,2,2,2,2,2
YCK1,2,3,3,2,0
YCK3,0,1,1,0,0
YCR006C,1,1,1,0,0
YCR061W,1,1,1,0,0
YCR087C-A,1,1,1,1,0
YCR090C,0,1,1,0,0
YCT1,1,1,1,1,2
YDJ1,2,2,2,2,1
YDL144C,0,1,0,0,0
YDL177C,1,1,1,1,0
YDL183C,0,2,1,0,0
YDL218W,0,1,1,0,0
YDR061W,2,1,1,1,0
YDR541C,0,1,0,0,0
YEF3,1,1,1,0,0
YEL025C,1,1,1,1,1
YEL043W,2,3,2,2,1
YER053C-A,1,1,1,1,0
YER079W,1,1,1,0,0
YER186C,1,1,1,1,0
YFH1,1,1,1,0,0
YFR018C,2,2,2,2,1
YGR016W,1,1,1,1,0
YGR026W,0,1,1,0,0
YGR079W,1,1,1,1,0
YGR126W,0,1,0,0,0
YGR127W,1,1,1,1,0
YGR161W-C,1,1,1,1,0
YGR201C,1,2,1,1,0
YHM2,0,1,1,0,0
YHR033W,2,3,2,1,1
YHR112C,1,1,1,1,0
YIH1,1,1,1,0,0
YIL024C,1,1,1,0,0
YIL055C,0,1,1,0,0
YIM1,0,1,1,0,0
YIP3,1,2,2,0,0
YIR042C,2,2,2,1,0
YJL118W,1,1,1,1,0
YJR115W,2,2,2,1,0
YKE4,1,1,1,0,0
YKL068W-A,1,2,2,1,0
YKR011C,0,1,1,0,0
YLL058W,0,1,1,1,0
YLR053C,0,1,1,0,0
YLR108C,1,1,1,0,0
YLR149C,2,2,2,2,1
YLR173W,0,1,1,0,0
YLR278C,2,2,2,2,1
YLR283W,2,2,2,2,1
YLR307C-A,0,1,0,0,0
YME1,1,1,1,0,0
YML003W,0,1,1,0,0
YML018C,2,2,2,1,0
YML053C,0,1,1,0,0
YML119W,2,2,2,2,1
YMR187C,0,1,1,0,0
YMR196W,1,1,1,1,0
YMR209C,0,1,1,0,0
YMR253C,2,2,2,2,1
YMR31,1,1,1,1,0
YNG1,1,1,1,1,1
YNG2,1,1,1,1,0
YNL095C,1,1,1,1,1
YNR014W,1,1,1,1,0
YOP1,0,1,1,0,0
YOR097C,0,1,1,0,0
YOR1,0,1,1,0,0
YOR289W,1,1,1,0,0
YOR292C,1,1,1,0,0
YOS1,1,1,1,1,1
YPL068C,2,2,2,2,1
YPL162C,0,0,1,0,0
YPL264C,1,1,1,1,0
YPR063C,0,2,2,0,0
