,Ypd
OAF1,4.634146341463415
CDC19,4.2682926829268295
POP5,19.512195121951223
CLN3,3.9024390243902443
FUN19,19.512195121951223
RPS14B,65.3125
RPL39,64.85714285714286
RPL17B,23.333333333333332
RPA34,9.62962962962963
LCB3,16.296296296296294
MRS3,64.07407407407406
PHS1,17.777777777777775
MRPL49,17.777777777777775
SIP4,28.518518518518515
RNR2,116.66666666666666
PTK2,53.51351351351351
RPL43B,9.62962962962963
YJR115W,6.052631578947369
TDA4,6.052631578947369
RPS5,28.888888888888886
TIM8,8.148148148148147
HMS2,48.2608695652174
SOP4,65.3125
RPS22A,64.85714285714286
ATG27,23.333333333333332
RPS21B,16.296296296296294
DPI8,64.07407407407406
PRY1,7.777777777777778
VPS53,41.59259259259259
APS2,53.51351351351351
RSM7,6.052631578947369
SGM1,8.148148148148147
MCM22,8.148148148148147
HOM6,80.0
RPS4A,48.2608695652174
FAS1,3.692946058091286
ZRT3,4.564315352697095
RPS27A,2.116182572614108
MLP1,8.25726141078838
MNN4,2.033195020746888
LST4,4.564315352697095
IXR1,3.1493775933609958
SRP40,5.684647302904564
RPL40B,8.25726141078838
RPS0B,8.254716981132075
LCL2,2.5
YLR112W,4.669811320754717
HOG1,4.669811320754717
RRN5,2.452830188679245
PUT1,2.452830188679245
RPS31,3.7028301886792456
YEF3,2.169811320754717
HAP1,5.990566037735849
RPS28B,8.915094339622641
YLR326W,9.433962264150944
NUP2,14.433962264150944
RPL26A,5.613207547169812
ECM19,16.509433962264154
CCW14,16.509433962264154
SFP1,6.5094339622641515
YLR407W,14.353773584905662
CAR2,6.117924528301886
RPL6B,4.716981132075472
UBI4,2.6415094339622645
CMS1,3.4433962264150946
PDC1,3.9622641509433962
CDC45,2.5
CCW12,4.669811320754717
SLS1,2.452830188679245
SEC10,3.7028301886792456
NDL1,5.990566037735849
CTS1,8.575471698113208
RPS30A,7.971698113207547
RPL38,9.433962264150944
RPS25B,14.433962264150944
STE23,16.509433962264154
BDF1,23.16037735849057
DUS3,6.5094339622641515
RPL31B,14.353773584905662
ECM30,6.117924528301886
DIF1,6.117924528301886
RPS1A,10.0
VMA6,4.716981132075472
RPS1B,7.107438016528926
RPS17A,4.159779614325069
BUD22,2.203856749311295
RPS16A,11.652892561983471
FDO1,2.5895316804407718
RPS10B,3.3333333333333335
RPL6A,2.3691460055096423
TEM1,7.107438016528926
YML6,4.159779614325069
SEC59,7.245179063360882
ERG5,3.7190082644628104
RPL13B,11.652892561983471
CAF40,45.4054054054054
TEX1,9.45945945945946
RAP1,17.83783783783784
INN1,15.675675675675675
AVT4,13.513513513513512
RPL9B,36.486486486486484
PEX6,18.108108108108105
MDJ2,18.108108108108105
RPS19B,38.75
RTC4,9.45945945945946
YCK2,15.675675675675675
GIM3,15.675675675675675
YNL144C,7.837837837837838
RPS7B,10.27027027027027
RPL16B,56.486486486486484
RPL25,35.833333333333336
SHR5,45.83333333333333
ZEO1,45.83333333333333
