,Ypd
FLC2,3.6877076411960132
ERV46,2.627551020408163
CDC24,3.0494505494505497
YAT1,2.4788135593220337
ACS1,3.6877076411960132
PTA1,2.627551020408163
ERP2,2.5558823529411767
PRP21,10.946372239747634
ECM25,10.946372239747634
GON7,2.595744680851064
MNN11,2.595744680851064
KRE9,7.5
FMP33,8.059701492537313
DAS1,6.649068322981366
MRS3,3.524904214559387
MDV1,3.2950191570881224
PAM16,2.3486590038314175
COA3,8.215384615384615
LAS21,8.215384615384615
YJL045W,2.4559386973180075
CCT3,4.779220779220779
RAD7,2.911877394636015
HIT1,2.467432950191571
RSM26,2.8505747126436782
ADO1,4.087613293051359
YJR115W,3.7534246575342465
TDA4,3.7534246575342465
IML1,5.478927203065133
HMS2,2.265258215962441
ATG36,2.595744680851064
SWI3,7.5
JJJ2,13.929907982212828
INO1,6.649068322981366
SNA3,6.649068322981366
DPI8,3.524904214559387
PRY1,4.82084690553746
PRY3,3.081761006289308
UTP18,5.174603174603175
MRPL8,8.215384615384615
UBX6,2.5670498084291187
YJL047C-A,2.5670498084291187
APS3,2.1839080459770113
RPC17,4.963768115942028
POL32,2.4521072796934864
FIP1,3.3698979591836733
AIM25,2.8505747126436782
SOD1,4.087613293051359
MET5,5.478927203065133
RPS4A,2.265258215962441
JEN1,5.177935943060498
CBT1,3.202846975088968
MIA40,8.24575461771324
HYM1,2.7402135231316724
FAS1,8.286173633440514
SRP102,2.0478723404255317
LTV1,4.358974358974359
PGM1,2.8469750889679712
SBA1,2.0640569395017794
YJU3,5.338078291814947
YKL069W,2.562277580071174
YKL068W-A,2.562277580071174
TFA1,7.3764434180138565
CAP1,2.79874213836478
AUR1,4.366197183098591
MIC60,6.153024911032029
BCH2,2.170818505338078
GMH1,11.494661921708184
TIF1,3.2781456953642385
MET1,5.373665480427046
AIM29,8.849885408708937
STE6,3.202846975088968
PEX1,5.8075601374570445
YKT6,14.053314755170284
MCD4,3.5231316725978647
RPC25,4.358974358974359
VPH2,2.0640569395017794
FBA1,2.009646302250804
MAE1,7.3764434180138565
LAC1,2.79874213836478
BYE1,4.366197183098591
SET3,11.494661921708184
KAE1,13.08970099667774
PLN1,5.028248587570622
BET3,5.373665480427046
SIS2,8.849885408708937
IRC19,6.282485875706215
FRA1,5.935483870967742
YEH1,2.926829268292683
SOF1,3.8392857142857144
SNF7,5.085301934280233
ERG3,8.025483556218791
KIN2,5.098984771573605
SRN2,7.186311787072243
IDP2,6.207792207792207
RPL37A,2.9547038327526134
EMG1,2.9547038327526134
YLR283W,10.30888030888031
MET17,2.0463320463320462
NKP2,2.4324324324324325
NMA1,2.7760617760617765
MID2,2.8424657534246576
NUP2,2.613390928725702
RPL26A,2.3106060606060606
RPS22B,10.007824338099569
ROM2,5.173745173745174
SFP1,4.968152866242038
MRPL4,2.872791519434629
RPL8B,6.085858585858586
RIX7,6.282485875706215
PUF3,2.926829268292683
TEN1,2.258687258687259
IZH3,2.5482625482625485
AAT2,4.4448160535117065
SPT8,8.025483556218791
IOC2,5.098984771573605
CLF1,7.186311787072243
TML25,7.186311787072243
RNH203,2.2934362934362933
HCR1,3.618243243243243
UPS1,3.618243243243243
UTP13,3.426966292134831
CDC42,15.791505791505791
YLR278C,10.30888030888031
RSO55,10.30888030888031
CDC3,2.4324324324324325
TMA10,2.7760617760617765
RPS25B,2.613390928725702
KAP95,3.6877076411960132
ARC18,5.173745173745174
FBP1,2.379182156133829
BDF1,6.540178571428572
DUS3,4.968152866242038
LSM3,2.872791519434629
TSL1,3.551470588235294
TDA9,11.09375
TRM9,4.510238907849829
UBX2,4.510238907849829
MIX17,5.483870967741935
CLU1,3.180327868852459
MRPL3,2.540983606557377
ARP9,5.598705501618123
ARG80,3.0491803278688527
FAR3,5.799180327868853
RIM9,10.59264183517552
AEP1,6.0559006211180115
SEC14,4.7239263803680975
ADH3,4.231617647058823
POM152,2.9918032786885247
MRPS8,2.418032786885246
HSC82,2.0614754098360657
YMR206W,3.97741935483871
YKU70,2.2540983606557377
PRC1,8.269794721407624
CUE4,3.551470588235294
ATP18,11.09375
COG8,2.0901639344262297
YML053C,2.9508196721311477
VPS71,2.6639344262295084
TAF11,4.510238907849829
GIS4,3.114754098360656
CDC5,5.483870967741935
MSS1,2.540983606557377
ARA2,3.0491803278688527
ARG7,4.536741214057508
PDS5,3.7622950819672134
CTF18,4.7239263803680975
ATP25,2.5737704918032787
AIM36,2.418032786885246
INP2,2.336065573770492
CMC4,2.553691275167785
PFK2,3.97741935483871
TRM732,2.0901639344262297
TIF11,2.0901639344262297
URA10,3.7704918032786887
LCB1,8.269794721407624
VNX1,9.183673469387754
MRPS18,14.309207094418362
SEC21,3.991130820399113
PIK1,2.814207650273224
SLA2,7.290167865707433
SSB2,3.063973063973064
SRP1,3.120805369127517
UBP10,4.705882352941177
LSM7,5.8192090395480225
NCS2,2.8428093645484953
MLS1,4.373259052924792
DMA2,4.358353510895884
RPC19,4.598130841121495
DBP2,4.598130841121495
MTQ1,5.252225519287833
NCE103,18.058823529411764
PUB1,2.9411764705882355
HRB1,2.374301675977654
TIM23,2.2743682310469313
DBP6,4.057649667405765
TRM112,2.701949860724234
FPK1,2.701949860724234
KRE1,9.183673469387754
MCK1,14.309207094418362
MRPL10,2.5
GIS2,4.95798319327731
SUI1,7.290167865707433
PDR16,3.545150501672241
PGA2,5.8192090395480225
ALF1,5.8192090395480225
TOM70,2.8428093645484953
DCP2,4.373259052924792
YNL115C,4.598130841121495
PHO23,2.2058823529411766
YDJ1,5.252225519287833
ARP5,4.286764705882353
IDH1,13.419117647058824
YNL035C,2.463235294117647
MRP7,2.374301675977654
CIT1,3.0514705882352944
ACC1,2.2743682310469313
MRPS12,4.057649667405765
RSM19,4.057649667405765
POP2,2.0243055555555554
NOG2,3.5962145110410098
TRM13,3.2785515320334264
MSN1,4.952978056426333
ZEO1,5.631372549019607
PKH2,2.384313725490196
MDM20,6.704545454545453
GPD2,2.4786324786324787
