,Ypd
SNC1,1
FRT2,1
PSK1,1
GIP4,1
MYO4,1
PHO90,1
CDC6,1
DAS1,1
ROQ1,1
TIM17,1
CCT7,1
SIP4,1
NET1,1
IRC8,1
YJL045W,1
HCA4,1
MPS3,1
PRE3,1
SUI2,1
RAD7,1
TOR1,1
STE18,1
YUH1,1
IBA57,1
IML1,1
MBB1,1
ELO1,1
CIS3,2
SNA3,1
LSM1,1
YJL107C,1
GYP6,1
BBC1,1
CTK2,1
OST1,1
ARP3,1
CDC11,1
TMH11,1
GRR1,1
YJR098C,1
RSF2,1
MET5,1
FAS1,1
AVT3,2
RPT1,1
MRP8,1
DGR2,1
SBA1,1
SRX1,1
MDH1,1
TEF4,1
VMA5,1
TOA2,2
SFK1,1
MRT4,1
MEH1,1
RSC4,1
PRY2,1
MIC60,1
SAP190,1
DAL80,1
DID2,1
GAP1,1
OAF3,1
MET1,2
AIM29,1
ECM4,1
MTD1,1
TOR2,1
SDH1,2
SRP21,1
VPH2,1
KTI12,1
GFA1,1
RRP14,1
FBA1,1
MPE1,2
NUP120,1
TMA19,1
DEF1,1
MDM35,1
ASK1,2
IXR1,1
PAN3,1
MIN9,1
URA6,1
UFD4,1
MRPL13,1
YKR011C,1
KAE1,1
LAS1,1
BET3,2
SIS2,1
YKR075C,1
TRZ1,1
LDB18,1
FRA1,1
ISA1,1
EMC6,1
YEH1,1
DRS1,1
RSC58,1
YLR112W,3
HOG1,2
CFT2,1
DIP2,1
RRN5,1
STM1,1
RPS31,1
IDP2,1
PWP1,1
UCC1,2
HAP1,1
RED1,1
ECM38,1
CDA2,1
LUG1,1
ADE13,1
CSR1,1
RPS29A,1
ECM19,1
CCW14,1
SFP1,1
BER1,1
COF1,1
VPS13,1
UBI4,1
GPI13,1
PUF3,1
PSR1,2
COX17,1
AAT2,1
SRL2,1
NYV1,1
GIS3,1
CCW12,1
AVL9,1
SLS1,1
YLR149C,1
UPS2,1
APS1,1
DPH5,1
NMT1,1
TUB4,2
IFH1,2
CDC42,2
NDL1,1
YPT6,1
TMA7,1
YHC1,1
YLR307C-A,1
IMH1,1
NIT3,1
SEC61,1
STE23,1
DUS3,1
YML119W,2
DAT1,1
CAC2,1
YML082W,1
TDA9,1
HUG1,1
SML1,1
CAT2,1
YAP1,1
YPT7,1
MIX17,2
AIM34,1
MVP1,1
YET2,1
CSM3,1
SPG4,1
ILV2,1
NCW1,2
CIN4,1
RIM11,1
