,Ypd
CDC19,1
EFB1,1
CLN3,2
ERP2,1
SSA1,1
KIN3,2
CDC6,1
RPA34,2
ASF1,1
ARG3,1
IRC8,1
YJL045W,1
RAD7,1
BUD4,2
ELO1,1
JJJ2,1
CIS3,1
FAR1,1
MCO6,1
NCA3,1
PRY1,1
UBX6,1
YJL047C-A,1
JSN1,2
CBT1,2
HYM1,1
ASH1,1
PIR3,1
PGM1,1
CWP2,1
YKL069W,1
BCH2,1
YKR041W,4
UTH1,2
TFA2,1
GPT2,1
AIM29,1
PCK1,1
STE6,2
MTR2,1
PIR1,1
GPM1,1
CCP1,1
SIS2,1
PAU17,1
RPL10,1
FMP25,1
YLR112W,1
HOG1,1
MMR1,1
MCM5,1
NMA1,1
MID2,1
NUP2,1
FKS1,1
VPS36,1
CAR2,1
SMF3,1
BUD20,1
RAX2,1
CCW12,1
RNH203,1
ATG26,1
CDC42,1
TMA10,1
RPS25B,1
PUN1,1
DIF1,1
YML119W,1
HUG1,1
SML1,1
CMP2,1
SUR7,1
TSA1,1
YOX1,1
MIX17,1
HOF1,1
ARG80,1
NCW1,1
FDO1,1
CLN1,1
HOR7,1
GFD1,1
YKU70,1
NDI1,1
NTE1,1
YML053C,2
GIS4,1
CDC5,1
SOK2,1
EIS1,1
ARA2,1
RPL15B,1
CMC4,1
YMR253C,1
URA10,1
SCW10,1
CLA4,2
PCL1,1
CAF40,1
RAD50,1
RPS3,1
MFA2,3
OCA2,2
MSG5,1
BOP3,1
NCE103,1
RCF2,1
CPR8,2
YNR063W,1
NRD1,1
YNL058C,2
YNL035C,1
RPL25,1
ZEO1,1
PSH1,1
LAG2,1
HST3,1
MSA1,1
SGO1,1
YVC1,1
SRL1,1
CPA1,1
SFG1,2
REV1,1
YOR389W,1
THI20,1
MDM38,1
MIM1,1
AHC1,1
ASE1,1
TCB1,1
ENV9,1
SPS4,2
YOR342C,1
TYE7,1
FDH1,1
BBP1,2
RPL7B,1
ISU1,1
RPS9A,1
HAA1,1
PIS1,1
NCE102,1
GPH1,1
CLN2,2
IQG1,1
YPL199C,1
SUR1,1
MRD1,1
CLB5,1
OPT2,1
KTI11,1
ECM13,1
PRE7,1
CHS2,2
ATG42,1
MCM7,1
AAR2,1
RPS8A,1
COR1,1
FUI1,1
SCO1,2
TIP1,1
YBR138C,1
MIN7,1
RDT1,1
SPB1,1
KCC4,1
BUD31,2
HCM1,1
PMP1,1
RHB1,1
TSR1,1
SNQ2,1
SES1,1
SED1,2
EKI1,2
HST4,1
GCD6,1
HTA1,1
ADK1,1
AMD2,1
YDR262W,1
SAC7,1
PPN1,2
MFA1,1
SNA2,1
RBA50,1
HLR1,1
HO,1
SYO1,1
RPS29B,1
ATG31,1
TPI1,1
SWI5,2
RVB1,1
GIC2,1
FCF1,1
UBA2,1
YDR391C,1
YHP1,2
CMI8,1
GIN4,1
YDR524C-B,1
IES6,1
UTR2,1
MCM3,2
UBC8,1
YER034W,1
EDC2,1
LSM4,1
GLC7,1
SPI1,1
GLY1,1
GCN4,1
SWI4,1
YER137C,1
PEA2,1
YER158C,1
BUR6,1
STE2,1
BUD27,1
HSP12,1
PTR3,1
GYP8,1
EPL1,1
MDJ1,1
CDC14,1
ARO8,1
RPS2,1
CDC20,1
RPL28,1
YGK1,1
YGL039W,1
HOP2,1
ALK1,1
MSB2,1
UFD1,1
YGR079W,1
UTP22,1
DBF2,1
CLB1,1
RPS23A,1
SKN1,1
TIF4631,1
MRPS35,1
BNS1,1
MCM6,1
RPL9A,1
RPL7A,1
AGA2,1
PMA1,2
TFC4,1
PAC10,1
PIL1,1
VOA1,1
CLB6,1
COG2,1
CBP4,1
CRH1,1
SMI1,1
SCW4,1
WSC4,1
SNF6,1
MYO1,1
TRA1,1
SPO12,1
ENO2,2
CTR2,2
RPL8A,1
OCA5,1
YHL026C,1
GPA1,1
TIM10,2
SFB3,1
DCD1,1
MTC6,1
AIM20,1
SIM1,1
POG1,2
SEC28,1
VHR1,1
SNL1,1
BAR1,1
MNT3,1
CAB2,1
RCI37,1
RPS24B,1
RGI2,1
SSM4,1
YIL014C-A,1
