,Ypd
CDC19,2.3343403826787514
CYS3,2.0177619893428065
NUP60,2.75095785440613
DRS2,3.7259615384615383
TFC3,2.75095785440613
MNN5,6.825800376647834
ERG20,8.54133064516129
MRS3,3.1129032258064515
ASF1,3.776209677419355
LSB6,2.422680412371134
AVT1,2.331668331668332
MET3,4.055185537583254
RPL43B,6.578629032258065
SFC1,6.578629032258065
IML1,2.6731198808637378
SWE1,6.825800376647834
SET2,8.54133064516129
CIS3,3.719758064516129
DPI8,3.1129032258064515
NCA3,3.776209677419355
GSH1,2.422680412371134
HOM6,2.8717105263157894
DPH2,5.525471698113208
PUT3,3.7243401759530794
CAP1,2.6284046692607004
RPS21A,2.3211009174311927
AIM29,3.613793103448276
SDS22,5.525471698113208
ACP1,5.525471698113208
ATP7,3.7243401759530794
LAC1,2.6284046692607004
SIS2,3.613793103448276
YCT1,13.306162494362933
DRS1,6.096045197740112
GEP5,4.952083333333333
SUL2,4.952083333333333
RRN5,9.149748743718593
PUT1,9.149748743718593
STM1,2.220081135902637
IDP2,2.0881458966565347
YLR283W,2.44831223628692
MET17,2.50210970464135
PSR1,6.096045197740112
COX17,6.096045197740112
SLS1,9.149748743718593
YLR149C,2.220081135902637
YLR278C,2.44831223628692
RSO55,2.44831223628692
VPS33,2.1107594936708862
YML119W,5.596118299445471
YPT7,8.393996247654785
NCW1,2.765316718587747
GFD1,2.6895119418483904
NDI1,5.596118299445471
YMR253C,2.6895119418483904
POP3,5.778864970645793
MET2,5.471443406022845
ADE12,2.054337464251668
MET4,2.0517766497461927
APP1,4.103517587939699
MTQ1,2.2690802348336594
NCE103,11.887303125588272
ABZ1,2.463136033229491
WSC2,5.778864970645793
POP1,2.054337464251668
LEU4,2.0517766497461927
YNL095C,4.103517587939699
YDJ1,2.2690802348336594
IDH1,11.887303125588272
HUB1,2.463136033229491
PKH2,2.459132189707366
ALG6,3.4326923076923075
CKB2,8.116650049850449
CYT1,5.919593345656192
KTR1,3.322519083969466
IDH2,3.9243353783231085
BUD7,2.1826086956521737
ATF1,2.4420849420849424
IZH4,2.459132189707366
DDR2,2.4503968253968256
SPE2,2.4503968253968256
HIR2,8.116650049850449
YNG1,5.919593345656192
NUP1,3.322519083969466
MBF1,2.1826086956521737
FLC1,3.4936974789915967
HRR25,3.578458681522748
RGL1,3.571725571725572
NOT5,2.2809204218600194
PRE2,2.5073529411764706
ATG41,6.964450739312118
RPL36B,4.696691176470589
PGC1,3.578458681522748
NAB3,5.56679764243615
YPL068C,3.571725571725572
HTC1,3.571725571725572
RPL11A,2.5073529411764706
BNA4,2.014690451206716
ATP3,2.1545988258317026
ECM15,2.2932489451476794
REB1,2.1607806691449816
NHP6B,2.676963812886143
TIM12,2.676963812886143
PCS60,5.070281124497992
ARO4,8.975124378109452
PGK1,2.0506454816286
AHK1,2.0773854244928627
USO1,3.5703634669151914
SES1,2.0202117420596726
MRX14,4.786952089704384
UTP5,4.66952380952381
GPI19,6.2555448408871746
SMT3,3.54066985645933
SDH7,3.54066985645933
BRE1,2.0773854244928627
RAD59,3.5703634669151914
RPN4,4.302830188679246
ATG31,2.0202117420596726
PDS1,4.786952089704384
DOP1,2.981818181818182
NCB2,4.66952380952381
GNP1,3.54066985645933
IES6,4.913418308437535
YEL043W,2.5031982942430706
RIP1,3.453007518796992
YOS1,4.085836909871245
IES5,3.185528756957328
UBC6,2.773809523809524
LSM4,3.3676470588235294
RSP5,3.857011070110701
GLY1,2.410220014194464
YEL025C,3.453007518796992
MET6,3.185528756957328
PRS2,2.773809523809524
GLE2,2.8203356367226062
SWI4,3.3676470588235294
DSE1,3.857011070110701
YER137C,2.2063492063492065
SMX2,2.8675324675324676
FAB1,11.091690544412607
LPD1,2.8675324675324676
GNA1,2.8675324675324676
YFR018C,11.091690544412607
QCR6,4.392392392392392
PHO4,4.392392392392392
SCS3,4.84514227126855
MET13,7.3146800863946
SCM4,4.158613445378151
ERG25,3.1714568880079286
DAM1,14.685216463188894
SPT6,14.685216463188894
SYF2,6.141584158415841
YCH1,7.889786562955241
ADE3,7.889786562955241
SOH1,2.713839750260146
GEP7,2.419512195121951
SDS23,2.419512195121951
ERG26,2.7513007284079083
UTP8,6.141584158415841
PCT1,2.1088435374149657
HSV2,7.529469548133595
MRP4,12.377317461466097
QCR10,2.395292207792208
YHR033W,5.965621840242669
TRA1,5.60483870967742
ARO9,3.0585774058577404
STE20,12.377317461466097
SHU1,12.377317461466097
GAR1,3.7875
SFB3,5.60483870967742
STH1,7.723752151462994
RHO3,2.482581967213115
HIS5,2.425204918032787
RRT14,7.723752151462994
PRM5,2.425204918032787
