,Glu,Eth
ASF1,0,1
HMS2,0,1
NCA3,0,1
RPS4A,0,1
FAS1,0,1
HAP4,0,3
MMO1,0,1
PHD1,0,1
YKR041W,0,1
UTH1,0,1
PCK1,0,1
MNN4,0,1
FAT3,0,1
MTR2,0,1
YCT1,0,1
AHP1,0,2
YLR112W,0,1
PDC1,0,1
YLR108C,0,2
CCW12,0,1
ILV5,0,1
GAT2,0,3
RSN1,0,1
SOK2,0,2
GID8,0,3
YMR265C,0,1
RPS3,0,1
COX5A,0,1
COG5,0,1
NCE103,0,2
LST8,0,1
TIM23,0,1
POR1,0,1
IDH1,0,2
ASI3,0,1
SIS1,0,1
ACC1,0,1
CPA1,0,1
FAA1,0,1
COT1,0,1
ISU1,0,1
ALD6,0,1
MFM1,0,1
RMI1,0,2
SPO24,0,1
ROX1,0,1
GIP3,0,1
SKS1,0,2
YPR063C,0,1
ECM13,0,1
COQ21,0,2
COR1,0,1
TIP1,0,1
OM14,0,1
PGK1,0,1
YCP4,0,1
CIT2,0,1
ADP1,0,1
RSM10,0,1
SED1,0,2
ADK1,0,1
SIR4,0,1
SNA2,0,2
RBA50,0,1
YAP6,0,1
SWM1,0,1
HXT6,0,1
APT2,0,1
ITR1,0,1
AGE1,0,1
YDR524C-B,0,2
HYP2,0,1
IES5,1,1
ANP1,0,1
GCN4,0,1
MET6,1,1
YER137C,0,1
HSP12,0,1
MDJ1,0,1
PYC1,0,1
FMP48,0,1
PMA1,1,2
YGR067C,0,1
CLB6,1,0
CTR2,1,0
RPL8A,1,0
VHR1,0,1
MET30,0,1
RGI2,0,1
SYG1,0,1
