,Ypd
FLC2,1
ERV46,1
CDC24,1
YAT1,1
ACS1,1
PTA1,1
ERP2,1
PRP21,1
ECM25,1
GON7,1
MNN11,1
KRE9,1
FMP33,1
DAS1,1
MRS3,1
MDV1,1
PAM16,1
COA3,1
LAS21,1
YJL045W,1
CCT3,1
RAD7,1
HIT1,1
RSM26,1
ADO1,1
YJR115W,1
TDA4,1
IML1,2
HMS2,1
ATG36,1
SWI3,1
JJJ2,3
INO1,1
SNA3,1
DPI8,1
PRY1,1
PRY3,1
UTP18,1
MRPL8,1
UBX6,1
YJL047C-A,1
APS3,1
RPC17,1
POL32,1
FIP1,1
AIM25,1
SOD1,1
MET5,2
RPS4A,1
JEN1,1
CBT1,1
MIA40,2
HYM1,1
FAS1,1
SRP102,1
LTV1,1
PGM1,1
SBA1,1
YJU3,1
YKL069W,1
YKL068W-A,1
TFA1,1
CAP1,1
AUR1,1
MIC60,1
BCH2,1
GMH1,2
TIF1,1
MET1,1
AIM29,2
STE6,1
PEX1,1
YKT6,3
MCD4,1
RPC25,1
VPH2,1
FBA1,1
MAE1,1
LAC1,1
BYE1,1
SET3,2
KAE1,1
PLN1,1
BET3,1
SIS2,2
IRC19,1
FRA1,1
YEH1,1
SOF1,1
SNF7,2
ERG3,2
KIN2,1
SRN2,1
IDP2,1
RPL37A,1
EMG1,1
YLR283W,2
MET17,1
NKP2,1
NMA1,1
MID2,1
NUP2,1
RPL26A,1
RPS22B,2
ROM2,1
SFP1,1
MRPL4,1
RPL8B,1
RIX7,1
PUF3,1
TEN1,1
IZH3,1
AAT2,1
SPT8,2
IOC2,1
CLF1,1
TML25,1
RNH203,1
HCR1,1
UPS1,1
UTP13,1
CDC42,2
YLR278C,2
RSO55,2
CDC3,1
TMA10,1
RPS25B,1
KAP95,1
ARC18,1
FBP1,1
BDF1,1
DUS3,1
LSM3,1
TSL1,1
TDA9,1
TRM9,1
UBX2,1
MIX17,1
CLU1,1
MRPL3,1
ARP9,1
ARG80,1
FAR3,1
RIM9,2
AEP1,1
SEC14,1
ADH3,1
POM152,1
MRPS8,1
HSC82,1
YMR206W,1
YKU70,1
PRC1,1
CUE4,1
ATP18,1
COG8,1
YML053C,1
VPS71,1
TAF11,1
GIS4,1
CDC5,1
MSS1,1
ARA2,1
ARG7,1
PDS5,1
CTF18,1
ATP25,1
AIM36,1
INP2,1
CMC4,1
PFK2,1
TRM732,1
TIF11,1
URA10,1
LCB1,1
VNX1,1
MRPS18,2
SEC21,1
PIK1,1
SLA2,1
SSB2,1
SRP1,1
UBP10,1
LSM7,1
NCS2,1
MLS1,1
DMA2,1
RPC19,1
DBP2,1
MTQ1,1
NCE103,3
PUB1,1
HRB1,1
TIM23,1
DBP6,1
TRM112,1
FPK1,1
KRE1,1
MCK1,2
MRPL10,1
GIS2,1
SUI1,1
PDR16,1
PGA2,1
ALF1,1
TOM70,1
DCP2,1
YNL115C,1
PHO23,1
YDJ1,1
ARP5,1
IDH1,2
YNL035C,1
MRP7,1
CIT1,1
ACC1,1
MRPS12,1
RSM19,1
POP2,1
NOG2,1
TRM13,1
MSN1,1
ZEO1,2
PKH2,1
MDM20,2
GPD2,1
PSH1,1
GAL11,1
SMC5,1
LAG2,1
YOL019W,1
MCO10,1
STI1,1
SGO1,1
YVC1,1
PET123,1
DDP1,1
GLN4,1
PEX27,1
HIS3,1
DED1,1
RPB10,1
IRC13,2
DFR1,2
GPN2,1
YOR289W,1
REV1,1
HAP5,1
MDH2,1
INO4,1
IZH4,1
BRX1,2
HST1,1
RTG1,1
MAM3,1
THI20,1
SPE2,1
MDM38,1
MIM1,1
TSR4,1
SGT2,1
HSP10,1
TCB1,1
YOR131C,1
PUP1,1
SWT1,1
RPS28A,1
NPT1,1
SAS5,1
RPB8,1
ISU2,1
RPL33B,1
RPN8,1
LDB19,1
PUT4,1
SNX3,1
CDC60,1
CAR1,2
PMA2,1
HAA1,1
YOP1,1
GLN1,1
RPL43A,1
MCM16,1
MSF1,1
ROX1,1
NOT5,1
GLD1,1
SCD6,1
RPS23B,2
ASN1,1
KRE6,1
GPH1,1
RHO1,1
DPM1,1
GDB1,1
BEM4,1
PEX25,2
EGD1,1
RPA135,1
MIN8,1
PUF2,1
THP3,1
NHP6A,1
YPR063C,2
FHL1,1
CLB5,1
ANT1,1
NOC4,1
YPR148C,1
ATP1,1
ECM13,1
MRPL16,1
HEK2,1
SCT1,1
UTP20,1
RKM3,1
YBR056W,1
MNC1,1
